"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Badalona (Assemblea de Catalunya)";"PM10";21,7;"2023-03";2023-03-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";21,56;"2023-03";2023-03-16;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19,61;"2023-03";2023-03-28;2,24823024;41,45130205
"Barcelona (el Poblenou)";"PM10";22;"2023-01";2023-01-04;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,9;"2023-01";2023-01-09;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";14;"2023-01";2023-01-15;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";19,5;"2023-01";2023-01-24;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";23,6;"2023-01";2023-01-27;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";31,5;"2023-01";2023-01-01;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";33,8;"2023-01";2023-01-03;2,20473014;41,40370072
