"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-27;"X1";"Falset";"Tarragona";359;12;6.4;19.4;69;47;95;0;NA;NA;10.7;c(0.81953, 41.15374);"3"
2024-01-27;"YJ";"Lleida - la Femosa";"Lleida";170;5;3.6;9.2;98;90;99;0,2;NA;NA;4.9;c(0.64172, 41.58462);"1"
2024-01-27;"YP";"Palafrugell";"Girona";36;8,1;0.9;18.4;87;50;100;0;NA;NA;10.3;c(3.16034, 41.90708);"5"
2024-01-28;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;10,7;8.4;13.4;89;66;100;0;NA;NA;8.8;c(2.12379, 41.41864);"4"
2024-01-28;"WU";"Badalona - Museu";"Barcelona";42;12,5;10.1;14.3;84;78;92;0;NA;NA;8.4;c(2.24757, 41.45215);"2"
2024-01-28;"X1";"Falset";"Tarragona";359;11,9;8;17.3;74;48;96;0;NA;NA;10.7;c(0.81953, 41.15374);"3"
2024-01-28;"YJ";"Lleida - la Femosa";"Lleida";170;7,5;1.4;19;88;49;99;0,2;NA;NA;8.8;c(0.64172, 41.58462);"1"
2024-01-28;"YP";"Palafrugell";"Girona";36;9,6;2.1;15.3;93;74;100;0,1;NA;NA;6.8;c(3.16034, 41.90708);"5"
2024-01-29;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;10,8;9.7;12.5;92;73;100;0;NA;NA;2.5;c(2.12379, 41.41864);"4"
2024-01-29;"WU";"Badalona - Museu";"Barcelona";42;13,6;12.5;15.3;79;61;88;0;NA;NA;2.7;c(2.24757, 41.45215);"2"
2024-01-29;"X1";"Falset";"Tarragona";359;11,1;8.4;13.7;81;68;96;0;NA;NA;6.5;c(0.81953, 41.15374);"3"
2024-01-29;"YJ";"Lleida - la Femosa";"Lleida";170;8,9;0.6;15.9;85;61;99;0;NA;NA;9.9;c(0.64172, 41.58462);"1"
2024-01-29;"YP";"Palafrugell";"Girona";36;12,9;9.7;14.9;90;71;100;0;NA;NA;3.5;c(3.16034, 41.90708);"5"
2024-01-30;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;10,5;8.4;14.6;89;64;100;0;NA;NA;6.4;c(2.12379, 41.41864);"4"
